,MSE,PE,MCC,Accuracy,Sensitivity,Specificity,F1_score,Precision,Time,Opt Lambda,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,111.86243796978532,0.04845735052190957,0.7337993857053428,0.85,0.7,1.0,0.8235294117647058,1.0,0.9623879999999999,0.3811449716160731,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,125.10155261038555,0.3026247146830954,0.6123724356957946,0.8,0.7,0.9,0.7777777777777778,0.875,0.963211,0.3109510855617129,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,115.6052793249032,0.11427765636479364,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,0.999044,0.5327051068320684,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,113.92212130373832,0.07050200326147678,0.816496580927726,0.9,0.8,1.0,0.8888888888888888,1.0,0.9946090000000005,0.31163837125063915,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,117.42640872354673,0.16779169827681487,0.3144854510165755,0.65,0.5,0.8,0.5882352941176471,0.7142857142857143,0.9802599999999995,0.3385820756673972,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,121.90681742760525,0.15347674656531665,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,1.0112250000000005,0.4895366338139296,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,116.12936460472662,0.1285699711411881,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,1.002192,0.9154703869455828,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,116.20824456417212,0.14375574235444136,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,1.0179799999999997,0.5880074298304039,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,119.05702602497195,0.15369300300197422,0.25,0.6,0.3,0.9,0.42857142857142855,0.75,1.0190260000000002,0.5689953942090528,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,113.38971400023489,0.09411639165201535,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,0.9552069999999997,0.5931014178241901,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,112.3533977392388,0.07963948582082066,0.816496580927726,0.9,0.8,1.0,0.8888888888888888,1.0,0.9632190000000005,0.19959619790175542,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,113.12695828305138,0.03908744010156979,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,0.9790840000000003,0.36533151056357416,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,114.26325494247307,0.10589813436451671,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.9676469999999995,0.5134450052495726,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,116.19520444785138,0.16296934499767668,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,1.005426,0.30710451839342123,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,109.02619735815195,0.06613346353151589,0.816496580927726,0.9,0.8,1.0,0.8888888888888888,1.0,1.0466549999999994,0.4125257785761316,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,116.54532173349527,0.14277917387384587,0.5241424183609591,0.75,0.6,0.9,0.7058823529411765,0.8571428571428571,0.9423050000000011,0.3959101039155273,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,117.5353535661524,0.14099641383873748,0.4364357804719848,0.7,0.5,0.9,0.625,0.8333333333333334,0.9885069999999985,0.23665659020085034,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,113.66132304657023,0.14335947812760683,0.9045340337332909,0.95,0.9,1.0,0.9473684210526315,1.0,1.0056139999999978,0.3343925762633642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,115.70871363034821,0.14437766404831245,0.3144854510165755,0.65,0.5,0.8,0.5882352941176471,0.7142857142857143,0.9765820000000005,0.3169419130268743,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,114.56747510727836,0.11891374989414297,0.3144854510165755,0.65,0.5,0.8,0.5882352941176471,0.7142857142857143,1.0220699999999994,0.3320414098967315,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,124.84935788485967,0.22680460174643516,0.34641016151377546,0.65,0.4,0.9,0.5333333333333333,0.8,1.0321359999999977,0.652749526395881,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,110.07329044444829,0.07812292790146873,0.6123724356957946,0.8,0.7,0.9,0.7777777777777778,0.875,0.9627830000000017,0.32967632208546377,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,115.44700759941387,0.11840070913898096,0.25,0.6,0.3,0.9,0.42857142857142855,0.75,0.9895969999999998,0.7268882111430981,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,114.1937553954643,0.08353544110744351,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,1.0475649999999987,0.5123485272970291,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,116.61734221978841,0.1769374300184405,0.502518907629606,0.75,0.7,0.8,0.7368421052631579,0.7777777777777778,0.9786920000000023,0.34662337441198243,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,119.91538864160599,0.14338204187337358,0.8,0.9,0.9,0.9,0.9,0.9,0.9954689999999999,0.2131590518245014,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,108.20724534758023,0.08584990293397317,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.9854039999999991,0.40787989014309706,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,120.02644510398112,0.17288761720340506,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.9913120000000006,0.8583835436047191,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,120.00841292457734,0.20830600339948072,0.7337993857053428,0.85,0.7,1.0,0.8235294117647058,1.0,0.9562489999999997,0.379706451091655,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,115.50794460496486,0.1609920029853067,0.420084025208403,0.65,0.3,1.0,0.46153846153846156,1.0,0.9404259999999987,0.6952790618086673,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,115.74707697781763,0.10772824674517373,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,0.9454400000000014,0.2943682821355869,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,132.6348863038733,0.4432059784328565,0.22941573387056174,0.55,0.1,1.0,0.18181818181818182,1.0,0.9462089999999961,1.2038098500750691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,114.66972233288759,0.1271521282486224,0.25,0.6,0.3,0.9,0.42857142857142855,0.75,0.970011999999997,0.506157980021166,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,119.13514484290019,0.1485099204644242,0.6123724356957946,0.8,0.7,0.9,0.7777777777777778,0.875,0.9980879999999956,0.30728373931918873,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,116.3228330821251,0.09981987729978697,0.6123724356957946,0.8,0.7,0.9,0.7777777777777778,0.875,0.9516910000000038,0.3532930018779289,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
